OID_,uniqueID,ZONE_CODE,COUNT,AREA,MEDIAN
93,94,94,90.000000000000000,0.000004019683297,0.887691237830320
94,95,95,48.000000000000000,0.000002143831092,0.887691237830320
95,98,98,89.000000000000000,0.000003975020149,0.878504672897196
96,99,99,90.000000000000000,0.000004019683297,0.878504672897196
97,100,100,90.000000000000000,0.000004019683297,0.878504672897196
98,101,101,88.000000000000000,0.000003930357001,0.878504672897196
99,102,102,88.000000000000000,0.000003930357001,0.773967459324155
100,103,103,91.000000000000000,0.000004064346444,0.773967459324155
101,104,104,89.000000000000000,0.000003975020149,0.773967459324155
102,105,105,90.000000000000000,0.000004019683297,0.773967459324155
103,106,106,91.000000000000000,0.000004064346444,0.773967459324155
104,107,107,88.000000000000000,0.000003930357001,0.845319405383688
105,108,108,88.000000000000000,0.000003930357001,0.845319405383688
